age,name,birth_date,gender,state,city,country,salary
10,Danielle,,,Florida,Chicago,USA,241191.0
27,Dylan,,Female,Ohio,Los Angeles,USA,403001.0
30,Danielle,,Male,Georgia,,USA,315480.0
30,Alexis,,Male,Florida,Los Angeles,USA,
30,Andrea,,Male,Texas,Los Angeles,USA,360846.0
10,Grace,,,Texas,,USA,211689.0
30,Dennis,,Male,Ohio,,USA,89839.0
27,Michelle,,Female,Illinois,New York City,USA,993769.0
27,Sandra,,Female,Florida,New York City,USA,204480.0
30,Isabella,,Male,Texas,,USA,
30,Jacqueline,,Male,,,USA,35316.0
30,Danielle,,Male,Pennsylvania,Los Angeles,USA,553683.0
30,Tyler,,Male,Georgia,,USA,
27,Paul,,Female,Georgia,Chicago,USA,270051.0
27,Bradley,,Female,Georgia,Los Angeles,USA,245049.0
30,Christine,,Male,Florida,Los Angeles,USA,228400.0
30,Thomas,,Male,Georgia,Chicago,USA,833048.0
30,Patricia,,Male,California,New York City,USA,304136.0
10,Peter,,,,Chicago,USA,543155.0
27,Abigail,,Female,Georgia,Los Angeles,USA,652202.0
27,Eric,,Female,,New York City,USA,585651.0
27,Tyler,,Female,Illinois,Los Angeles,USA,319370.0
10,Tyler,,,California,Chicago,USA,477650.0
27,Donna,,Female,Georgia,,USA,325823.0
27,Noah,,Female,New York,Los Angeles,USA,216420.0
27,Nicholas,,Female,Pennsylvania,,USA,461660.0
30,Andrea,,Male,Pennsylvania,,USA,884473.0
10,Gary,,,Texas,Los Angeles,USA,181830.0
30,Jessica,,Male,Texas,,USA,761013.0
27,Marie,,Female,California,Los Angeles,USA,736888.0
30,Jeffrey,,Male,Florida,Chicago,USA,801453.0
27,Scott,,Female,Ohio,,USA,117499.0
27,Kathryn,,Female,Florida,New York City,USA,134906.0
27,Brandon,,Female,,New York City,USA,927777.0
10,Kathryn,,,Illinois,New York City,USA,633556.0
27,Judith,,Female,Georgia,Los Angeles,USA,555166.0
27,Beverly,,Female,New York,,USA,155000.0
30,Dennis,,Male,Florida,,USA,58261.0
30,Bryan,,Male,California,Los Angeles,USA,889862.0
27,Austin,,Female,Texas,,USA,501521.0
10,Anthony,,,California,,USA,552111.0
30,Kenneth,,Male,California,Chicago,USA,852802.0
27,Billy,,Female,New York,,USA,650987.0
27,Albert,,Female,,Chicago,USA,771999.0
30,Samuel,,Male,Georgia,,USA,
10,Barbara,,,Georgia,,USA,237182.0
10,Amber,,,Ohio,New York City,USA,452810.0
30,Thomas,,Male,,,USA,479319.0
27,Donna,,Female,,,USA,418479.0
27,Stephanie,,Female,,New York City,USA,548900.0
30,Mark,,Male,,New York City,USA,804555.0
27,Eugene,,Female,,Los Angeles,USA,676366.0
10,Timothy,,,Florida,Los Angeles,USA,109954.0
10,Virginia,,,,New York City,USA,
30,Judith,,Male,New York,Los Angeles,USA,279378.0
10,Vincent,,,Ohio,Chicago,USA,16268.0
30,Benjamin,,Male,,,USA,661056.0
30,Jennifer,,Male,New York,,USA,221978.0
27,Rebecca,,Female,New York,,USA,386059.0
30,Christopher,,Male,Pennsylvania,Los Angeles,USA,834968.0
30,Nicole,,Male,,New York City,USA,29357.0
10,Marie,,,Georgia,New York City,USA,359866.0
30,Arthur,,Male,Ohio,New York City,USA,788694.0
30,William,,Male,Pennsylvania,Chicago,USA,
27,Edward,,Female,New York,New York City,USA,499783.0
30,Lisa,,Male,Texas,Chicago,USA,431619.0
30,Gabriel,,Male,Georgia,Los Angeles,USA,491497.0
27,Ruth,,Female,Ohio,,USA,528884.0
27,Tyler,,Female,Ohio,,USA,489760.0
30,Edward,,Male,Pennsylvania,New York City,USA,241369.0
27,Hannah,,Female,Pennsylvania,,USA,665552.0
10,Jeremy,,,Texas,New York City,USA,
27,Cheryl,,Female,Georgia,,USA,542812.0
10,Helen,,,Georgia,Chicago,USA,484452.0
27,Alexis,,Female,,New York City,USA,204460.0
10,Roy,,,,Los Angeles,USA,603082.0
27,Dorothy,,Female,Ohio,New York City,USA,301032.0
30,Andrew,,Male,Florida,Chicago,USA,28836.0
30,Adam,,Male,Pennsylvania,Los Angeles,USA,638055.0
27,Scott,,Female,Texas,,USA,394578.0
10,George,,,Florida,Los Angeles,USA,684943.0
30,Rebecca,,Male,California,,USA,772590.0
10,Theresa,,,Pennsylvania,Chicago,USA,634668.0
30,Jose,,Male,Ohio,,USA,150821.0
10,Danielle,,,Ohio,,USA,131757.0
10,Wayne,,,Georgia,Chicago,USA,750339.0
30,Joshua,,Male,,Chicago,USA,895962.0
30,Stephen,,Male,Florida,,USA,472362.0
30,Terry,,Male,Ohio,,USA,704016.0
30,Charlotte,,Male,California,,USA,24796.0
10,Andrea,,,Texas,,USA,408152.0
27,Martha,,Female,Georgia,New York City,USA,354579.0
10,Jose,,,,Chicago,USA,785467.0
10,Kimberly,,,Pennsylvania,Chicago,USA,617886.0
27,Joseph,,Female,Ohio,,USA,171537.0
27,Douglas,,Female,,New York City,USA,663681.0
27,Carol,,Female,,Chicago,USA,449841.0
10,Kimberly,,,Texas,Los Angeles,USA,36955.0
27,Marilyn,,Female,,New York City,USA,713244.0
27,Edward,,Female,,New York City,USA,234553.0
27,Beverly,,Female,Illinois,,USA,493289.0
30,Ashley,,Male,New York,Los Angeles,USA,195774.0
10,Joe,,,Ohio,Chicago,USA,978927.0
27,Gregory,,Female,Texas,,USA,955262.0
30,Scott,,Male,Ohio,Chicago,USA,507283.0
10,Adam,,,Illinois,New York City,USA,589446.0
10,Betty,,,California,,USA,13001.0
10,Cynthia,,,Ohio,Chicago,USA,529385.0
30,Roger,,Male,,,USA,608914.0
30,Carolyn,,Male,Ohio,Los Angeles,USA,
30,Kenneth,,Male,Texas,New York City,USA,760989.0
27,Brittany,,Female,Pennsylvania,,USA,127999.0
30,Russell,,Male,California,Chicago,USA,
10,Willie,,,Texas,Chicago,USA,23724.0
10,Frances,,,Texas,Chicago,USA,230203.0
27,Nancy,,Female,Illinois,Chicago,USA,289765.0
10,Ruth,,,Ohio,New York City,USA,975666.0
30,Isabella,,Male,Ohio,,USA,619327.0
30,Julie,,Male,Illinois,,USA,805232.0
30,Eric,,Male,Texas,Chicago,USA,283662.0
27,Stephanie,,Female,,Chicago,USA,336124.0
30,Lauren,,Male,New York,,USA,54917.0
30,Amanda,,Male,,New York City,USA,49099.0
10,Alice,,,Texas,,USA,889252.0
30,Richard,,Male,Pennsylvania,,USA,15320.0
30,Anthony,,Male,Pennsylvania,Chicago,USA,628314.0
30,John,,Male,California,,USA,362235.0
30,Jonathan,,Male,Ohio,,USA,386458.0
27,Cynthia,,Female,,Chicago,USA,345700.0
27,Ethan,,Female,Illinois,,USA,218700.0
10,Doris,,,,,USA,832275.0
27,Janice,,Female,,Los Angeles,USA,
10,Beverly,,,California,Los Angeles,USA,931203.0
30,Emma,,Male,,New York City,USA,728332.0
27,Roy,,Female,Ohio,,USA,721720.0
27,Sharon,,Female,Illinois,,USA,441380.0
30,Elizabeth,,Male,Georgia,Chicago,USA,444642.0
27,Jessica,,Female,Georgia,,USA,886829.0
30,Janice,,Male,Texas,Los Angeles,USA,
30,Nancy,,Male,Ohio,Los Angeles,USA,
27,Kevin,,Female,Ohio,New York City,USA,672398.0
30,Hannah,,Male,Illinois,Los Angeles,USA,628613.0
30,Samantha,,Male,Texas,New York City,USA,747772.0
30,Roger,,Male,Illinois,,USA,883514.0
30,Eric,,Male,,Los Angeles,USA,126611.0
30,Joan,,Male,California,,USA,441957.0
27,Ryan,,Female,California,Los Angeles,USA,769984.0
30,Arthur,,Male,Illinois,,USA,365501.0
10,Timothy,,,,Los Angeles,USA,512618.0
10,Samantha,,,,New York City,USA,16091.0
27,Natalie,,Female,Ohio,New York City,USA,703782.0
30,Emma,,Male,New York,New York City,USA,210723.0
30,Ruth,,Male,Georgia,Los Angeles,USA,197032.0
30,Janet,,Male,New York,,USA,129987.0
10,Raymond,,,Georgia,Los Angeles,USA,755656.0
27,Lori,,Female,New York,Los Angeles,USA,401231.0
27,Christine,,Female,,Los Angeles,USA,921644.0
27,Roy,,Female,Georgia,Los Angeles,USA,941780.0
27,Carl,,Female,Pennsylvania,,USA,685291.0
27,Richard,,Female,Texas,Los Angeles,USA,28987.0
30,Sara,,Male,New York,Chicago,USA,484400.0
30,Matthew,,Male,Illinois,,USA,580907.0
10,Dorothy,,,Pennsylvania,,USA,332174.0
27,Cynthia,,Female,Georgia,Los Angeles,USA,439560.0
30,Diana,,Male,,Los Angeles,USA,328669.0
30,Benjamin,,Male,Illinois,New York City,USA,560826.0
30,Lisa,,Male,New York,,USA,550784.0
30,Emma,,Male,New York,New York City,USA,105064.0
30,Carol,,Male,Florida,,USA,157410.0
30,Logan,,Male,,Los Angeles,USA,771879.0
10,Elijah,,,Ohio,New York City,USA,656157.0
10,Natalie,,,Florida,,USA,364586.0
27,Tyler,,Female,Illinois,Chicago,USA,447483.0
30,Ruth,,Male,New York,Los Angeles,USA,383715.0
30,Douglas,,Male,Illinois,Chicago,USA,811254.0
27,Jose,,Female,Texas,Chicago,USA,438791.0
30,Nicholas,,Male,Pennsylvania,Chicago,USA,716972.0
30,Catherine,,Male,,,USA,57013.0
10,Patricia,,,Texas,Chicago,USA,
10,Kimberly,,,,New York City,USA,763707.0
10,Angela,,,Pennsylvania,Chicago,USA,852177.0
30,Vincent,,Male,California,,USA,610993.0
27,Evelyn,,Female,,Chicago,USA,
27,Theresa,,Female,Texas,Los Angeles,USA,279694.0
30,Vincent,,Male,Ohio,Los Angeles,USA,721068.0
30,Peter,,Male,Pennsylvania,,USA,150460.0
10,Virginia,,,Illinois,Chicago,USA,396903.0
30,Henry,,Male,,New York City,USA,169665.0
30,Eric,,Male,,Chicago,USA,
30,Dorothy,,Male,California,Los Angeles,USA,50506.0
27,Gloria,,Female,,Los Angeles,USA,589864.0
27,Diana,,Female,New York,,USA,383415.0
10,Melissa,,,New York,,USA,118940.0
30,Janet,,Male,Illinois,Los Angeles,USA,196524.0
10,Betty,,,Ohio,Chicago,USA,680869.0
27,Kenneth,,Female,Illinois,,USA,887454.0
30,Steven,,Male,Florida,,USA,988108.0
10,Kyle,,,Illinois,,USA,819549.0
30,Dorothy,,Male,Georgia,New York City,USA,951232.0
27,Lisa,,Female,Texas,Los Angeles,USA,507767.0
30,Anna,,Male,Georgia,,USA,848368.0
27,Kevin,,Female,Pennsylvania,,USA,474442.0
27,Jason,,Female,,Chicago,USA,975155.0
27,Joan,,Female,Ohio,,USA,258117.0
30,Anthony,,Male,New York,Chicago,USA,166373.0
30,Samuel,,Male,Texas,,USA,
10,Abigail,,,,Los Angeles,USA,318714.0
30,Donald,,Male,,New York City,USA,
10,Virginia,,,Texas,,USA,481280.0
27,Angela,,Female,New York,New York City,USA,622181.0
10,Nicole,,,Ohio,Chicago,USA,26467.0
27,Justin,,Female,Illinois,Chicago,USA,644123.0
10,Alexis,,,California,Chicago,USA,474633.0
30,Angela,,Male,New York,,USA,272022.0
30,Nicholas,,Male,Texas,,USA,289743.0
30,Sharon,,Male,,,USA,810640.0
30,John,,Male,Florida,Los Angeles,USA,91312.0
10,Timothy,,,California,Chicago,USA,944960.0
10,Amanda,,,,,USA,295758.0
27,Abigail,,Female,California,,USA,379989.0
30,Jessica,,Male,California,,USA,154005.0
30,Maria,,Male,,,USA,110271.0
10,Brittany,,,,Chicago,USA,793709.0
30,Michelle,,Male,New York,Chicago,USA,541949.0
30,Marilyn,,Male,,,USA,107831.0
27,Stephanie,,Female,Florida,Los Angeles,USA,693218.0
27,Zachary,,Female,Georgia,,USA,14235.0
30,Anthony,,Male,,Los Angeles,USA,
10,Willie,,,Texas,,USA,216386.0
30,Diane,,Male,Ohio,New York City,USA,415074.0
27,Jacqueline,,Female,Pennsylvania,,USA,872021.0
30,Virginia,,Male,Florida,New York City,USA,901980.0
10,Jacob,,,Ohio,New York City,USA,180132.0
30,Gloria,,Male,Ohio,,USA,790828.0
27,Edward,,Female,Illinois,Los Angeles,USA,96210.0
30,Alexis,,Male,,,USA,85402.0
30,Deborah,,Male,Illinois,New York City,USA,55020.0
27,Megan,,Female,Georgia,Los Angeles,USA,782659.0
10,Patricia,,,Ohio,,USA,918759.0
10,Pamela,,,Texas,,USA,227148.0
27,Donald,,Female,,,USA,570520.0
27,Carolyn,,Female,Georgia,,USA,
27,Marie,,Female,Florida,,USA,776257.0
27,Christine,,Female,New York,Los Angeles,USA,540099.0
27,Gary,,Female,Texas,New York City,USA,
30,Russell,,Male,New York,,USA,501097.0
27,Ashley,,Female,Ohio,Chicago,USA,
30,Bradley,,Male,New York,Los Angeles,USA,51738.0
27,Danielle,,Female,Georgia,,USA,823741.0
30,William,,Male,New York,Chicago,USA,159727.0
27,Rachel,,Female,Pennsylvania,Los Angeles,USA,6063.0
10,Judith,,,,,USA,797167.0
10,David,,,Pennsylvania,,USA,763558.0
10,Eric,,,Pennsylvania,Chicago,USA,446403.0
27,Bradley,,Female,,,USA,
30,Timothy,,Male,Pennsylvania,,USA,623217.0
27,Logan,,Female,Florida,Los Angeles,USA,85170.0
30,Paul,,Male,,Los Angeles,USA,748668.0
27,Brandon,,Female,,,USA,651746.0
10,Ronald,,,Illinois,,USA,310072.0
30,Heather,,Male,Georgia,Chicago,USA,726767.0
27,Natalie,,Female,Ohio,,USA,499060.0
27,Patrick,,Female,Georgia,Chicago,USA,692679.0
27,Kimberly,,Female,Illinois,,USA,57017.0
27,Logan,,Female,Ohio,,USA,33970.0
27,Isabella,,Female,Florida,Los Angeles,USA,241993.0
30,Aaron,,Male,Illinois,Chicago,USA,586856.0
30,Linda,,Male,Florida,,USA,762427.0
27,Cheryl,,Female,Florida,New York City,USA,801588.0
27,Denise,,Female,California,Chicago,USA,715812.0
27,Joseph,,Female,New York,Los Angeles,USA,346003.0
10,Joan,,,,New York City,USA,180167.0
30,Michael,,Male,,Chicago,USA,991407.0
30,Bryan,,Male,Texas,Chicago,USA,882508.0
